identifier,collection,contract,token_standard,name,description,image_url,display_image_url,original_image_url,metadata_url,opensea_url,updated_at,is_disabled,is_nsfw,is_suspicious,creator_address,owners_count,owners_json,traits_count,traits_json,rarity_strategy_id,rarity_strategy_version,rarity_rank,image_file
0,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #0,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/8ddf825dc8155e6080fbdbe6cc12f7/dd8ddf825dc8155e6080fbdbe6cc12f7.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/8ddf825dc8155e6080fbdbe6cc12f7/dd8ddf825dc8155e6080fbdbe6cc12f7.png,https://www.larvalabs.com/cryptopunks/cryptopunk0.png,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/0,2026-03-07T10:39:00.252395,False,False,False,,1,"[{""address"": ""0xe08c32737c021c7d05d116b00a68a02f2d144ac0"", ""quantity"": 1}]",5,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Female""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Earring""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Blonde Bob""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Green Eye Shadow""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""3 attributes""}]",openrarity,1.0,3415,
1,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #1,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/564ef33373939b024fb791f21ec37b/f3564ef33373939b024fb791f21ec37b.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/564ef33373939b024fb791f21ec37b/f3564ef33373939b024fb791f21ec37b.png,https://www.larvalabs.com/cryptopunks/cryptopunk1.png,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/1,2026-03-07T10:39:01.396414,False,False,False,,1,"[{""address"": ""0xb88f61e6fbda83fbfffabe364112137480398018"", ""quantity"": 1}]",4,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Male""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Smile""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Mohawk""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""2 attributes""}]",openrarity,1.0,5129,
2,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #2,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/56a3807a36f5cadbf9e5e45ecb5884/8756a3807a36f5cadbf9e5e45ecb5884.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/56a3807a36f5cadbf9e5e45ecb5884/8756a3807a36f5cadbf9e5e45ecb5884.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/2,2026-03-07T10:39:04.030554,False,False,False,,1,"[{""address"": ""0x830c47362766804dc43fb07215c3c50a09cc572c"", ""quantity"": 1}]",3,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Female""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Wild Hair""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""1 attributes""}]",openrarity,1.0,350,
3,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #3,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/afd8ad7b4ef0a4878318b92d9a3dfa/fcafd8ad7b4ef0a4878318b92d9a3dfa.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/afd8ad7b4ef0a4878318b92d9a3dfa/fcafd8ad7b4ef0a4878318b92d9a3dfa.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/3,2026-03-07T10:39:05.635447,False,False,False,,1,"[{""address"": ""0xa858ddc0445d8131dac4d1de01f834ffcba52ef1"", ""quantity"": 1}]",5,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Male""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Nerd Glasses""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Wild Hair""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Pipe""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""3 attributes""}]",openrarity,1.0,7240,
4,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #4,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/e7a4c9cc108f44b5c3f9e3bcc0fed3/05e7a4c9cc108f44b5c3f9e3bcc0fed3.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/e7a4c9cc108f44b5c3f9e3bcc0fed3/05e7a4c9cc108f44b5c3f9e3bcc0fed3.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/4,2026-03-07T10:39:06.746601,False,False,False,,1,"[{""address"": ""0xa858ddc0445d8131dac4d1de01f834ffcba52ef1"", ""quantity"": 1}]",6,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Male""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Earring""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Big Shades""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Wild Hair""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Goat""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""4 attributes""}]",openrarity,1.0,1175,
5,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #5,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/5e2fbd72d13cf7966004078474f043/e15e2fbd72d13cf7966004078474f043.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/5e2fbd72d13cf7966004078474f043/e15e2fbd72d13cf7966004078474f043.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/5,2026-03-07T10:39:07.906181,False,False,False,,1,"[{""address"": ""0xa858ddc0445d8131dac4d1de01f834ffcba52ef1"", ""quantity"": 1}]",5,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Female""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Earring""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Half Shaved""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Purple Eye Shadow""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""3 attributes""}]",openrarity,1.0,3415,
6,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #6,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/5ac309244653cb28ecd6a64bfe7201/fa5ac309244653cb28ecd6a64bfe7201.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/5ac309244653cb28ecd6a64bfe7201/fa5ac309244653cb28ecd6a64bfe7201.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/6,2026-03-07T10:39:09.527873,False,False,False,,1,"[{""address"": ""0xa858ddc0445d8131dac4d1de01f834ffcba52ef1"", ""quantity"": 1}]",3,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Male""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Do-rag""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""1 attributes""}]",openrarity,1.0,497,
7,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #7,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/231c9627d0a89e26f987c39b677966/43231c9627d0a89e26f987c39b677966.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/231c9627d0a89e26f987c39b677966/43231c9627d0a89e26f987c39b677966.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/7,2026-03-07T10:39:11.143911,False,False,False,,1,"[{""address"": ""0xa858ddc0445d8131dac4d1de01f834ffcba52ef1"", ""quantity"": 1}]",5,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Female""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Clown Eyes Blue""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Wild White Hair""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Spots""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""3 attributes""}]",openrarity,1.0,3415,
8,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #8,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/40948fc8b7536583ee9e768d810d1a/7840948fc8b7536583ee9e768d810d1a.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/40948fc8b7536583ee9e768d810d1a/7840948fc8b7536583ee9e768d810d1a.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/8,2026-03-07T10:39:12.794684,False,False,False,,1,"[{""address"": ""0xa858ddc0445d8131dac4d1de01f834ffcba52ef1"", ""quantity"": 1}]",4,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Male""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Messy Hair""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Luxurious Beard""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""2 attributes""}]",openrarity,1.0,5129,
9,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/c05c9ed2cf69f071af6e9d8eb33d4e/cac05c9ed2cf69f071af6e9d8eb33d4e.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/c05c9ed2cf69f071af6e9d8eb33d4e/cac05c9ed2cf69f071af6e9d8eb33d4e.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9,2026-03-07T10:39:15.050268,False,False,False,,1,"[{""address"": ""0xa858ddc0445d8131dac4d1de01f834ffcba52ef1"", ""quantity"": 1}]",5,"[{""trait_type"": ""type"", ""display_type"": null, ""max_value"": null, ""value"": ""Male""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Big Beard""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Clown Nose""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""Police Cap""}, {""trait_type"": ""accessory"", ""display_type"": null, ""max_value"": null, ""value"": ""3 attributes""}]",openrarity,1.0,7240,
