identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers
9995,0,0.0,0.0,0.0,0.0,0,0
9978,0,0.0,0.0,0.0,0.0,0,0
9991,0,0.0,0.0,0.0,0.0,0,0
9997,1,99.99,99.99,99.99,99.99,0,0
9961,1,0.41,0.41,0.41,0.41,0,0
9986,0,0.0,0.0,0.0,0.0,0,0
9993,3,48.39333333333334,58.49,33.69,145.18,0,0
9982,4,108.0,149.0,70.0,432.0,0,0
9976,4,15.547500000000001,59.99,0.25,62.190000000000005,0,0
9970,7,26.17142857142857,50.0,0.5,183.2,0,0
9960,0,0.0,0.0,0.0,0.0,0,0
9953,1,399.69,399.69,399.69,399.69,0,0
9981,2,55.245000000000005,55.5,54.99,110.49000000000001,0,0
9966,1,2.768,2.768,2.768,2.768,0,0
9987,2,46.975,64.0,29.95,93.95,0,0
9959,0,0.0,0.0,0.0,0.0,0,0
9956,2,51.19,55.5,46.88,102.38,0,0
9994,0,0.0,0.0,0.0,0.0,0,0
9988,0,0.0,0.0,0.0,0.0,0,0
9989,1,0.3,0.3,0.3,0.3,0,0
9996,0,0.0,0.0,0.0,0.0,0,0
9980,6,39.53,56.0,29.0,237.18,0,0
9977,0,0.0,0.0,0.0,0.0,0,0
9958,4,62.9475,80.0,23.99,251.79,0,0
9965,1,0.29,0.29,0.29,0.29,0,0
9985,1,41.0,41.0,41.0,41.0,0,0
9963,2,5.575,11.0,0.15,11.15,0,0
9973,2,32.475,49.1,15.85,64.95,0,0
9974,1,10.0,10.0,10.0,10.0,0,0
9990,3,36.15000293333333,83.95,8.8e-06,108.4500088,0,0
9979,2,3.0,5.0,1.0,6.0,0,0
9971,1,24.0,24.0,24.0,24.0,0,0
9975,3,40.97666666666667,47.95,30.0,122.93,0,0
9968,1,58.0,58.0,58.0,58.0,0,0
9954,4,63.870000000000005,66.58,60.5,255.48000000000002,0,0
9983,0,0.0,0.0,0.0,0.0,0,0
9969,3,24.650000000000002,44.4,0.25,73.95,0,0
9957,0,0.0,0.0,0.0,0.0,0,0
9964,4,68.2075,79.0,61.0,272.83,0,0
9967,7,63.58428571428572,82.0,50.0,445.09000000000003,0,0
9998,3,54.333333333333336,110.0,15.0,163.0,0,0
9984,0,0.0,0.0,0.0,0.0,0,0
9955,1,10.0,10.0,10.0,10.0,0,0
9972,4,36.735,74.95,1.0,146.94,0,0
9999,0,0.0,0.0,0.0,0.0,0,0
9962,2,41.5,50.0,33.0,83.0,0,0
9992,1,47.5,47.5,47.5,47.5,0,0
9924,5,2.3739999999999997,4.0,0.59,11.87,0,0
9910,8,36.8175,74.69,0.12,294.54,0,0
9916,2,17.475,34.0,0.95,34.95,0,0
9934,2,36.995,55.0,18.99,73.99,0,0
9950,0,0.0,0.0,0.0,0.0,0,0
9944,0,0.0,0.0,0.0,0.0,0,0
