identifier,collection,contract,token_standard,name,description,image_url,display_image_url,display_animation_url,metadata_url,opensea_url,updated_at,is_disabled,is_nsfw,original_image_url,original_animation_url,traits
9989,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9989,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/0c0ddcddcabbc67bfb239a7da67047/c40c0ddcddcabbc67bfb239a7da67047.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/0c0ddcddcabbc67bfb239a7da67047/c40c0ddcddcabbc67bfb239a7da67047.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9989,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9989,2026-03-21T06:55:53.700604,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Red'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Faux Hawk'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Bored'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Bored Pizza'}, {'trait_type': 'Clothes', 'display_type': None, 'max_value': None, 'value': 'Vietnam Jacket'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'New Punk Blue'}]"
9983,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9983,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/663dda23090db0df7871a11f465e04/3e663dda23090db0df7871a11f465e04.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/663dda23090db0df7871a11f465e04/3e663dda23090db0df7871a11f465e04.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9983,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9983,2026-03-21T06:55:53.700618,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Gray'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Beanie'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Bored'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Bored Unshaven'}, {'trait_type': 'Clothes', 'display_type': None, 'max_value': None, 'value': 'Guayabera'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Army Green'}]"
9966,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9966,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/7b67bdebcd04327cda2068fa0b8c23/0e7b67bdebcd04327cda2068fa0b8c23.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/7b67bdebcd04327cda2068fa0b8c23/0e7b67bdebcd04327cda2068fa0b8c23.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9966,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9966,2026-03-21T06:55:53.700627,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Pink'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Army Hat'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Sleepy'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Dumbfounded'}, {'trait_type': 'Clothes', 'display_type': None, 'max_value': None, 'value': 'Bayc T Black'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Yellow'}]"
9972,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9972,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/2236be9b0e49c3fdcb2172bfbf9ed3/6a2236be9b0e49c3fdcb2172bfbf9ed3.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/2236be9b0e49c3fdcb2172bfbf9ed3/6a2236be9b0e49c3fdcb2172bfbf9ed3.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9972,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9972,2026-03-21T06:55:53.700637,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Brown'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Bunny Ears'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Hypnotized'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Rage'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Aquamarine'}]"
9984,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9984,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/f578c53931e9c3f40c767bfe491c66/6bf578c53931e9c3f40c767bfe491c66.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/f578c53931e9c3f40c767bfe491c66/6bf578c53931e9c3f40c767bfe491c66.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9984,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9984,2026-03-21T06:55:53.700646,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Cheetah'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Bayc Flipped Brim'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Hypnotized'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Bored'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Aquamarine'}]"
9985,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9985,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/e9683573245bcabd5a3e0e588c415d/71e9683573245bcabd5a3e0e588c415d.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/e9683573245bcabd5a3e0e588c415d/71e9683573245bcabd5a3e0e588c415d.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9985,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9985,2026-03-21T06:55:53.700656,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Tan'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Bayc Hat Black'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Blindfold'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Bored Cigar'}, {'trait_type': 'Earring', 'display_type': None, 'max_value': None, 'value': 'Silver Hoop'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Aquamarine'}]"
9967,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9967,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/1ed97397a5e71cc1e4ce8d364a8fcb/721ed97397a5e71cc1e4ce8d364a8fcb.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/1ed97397a5e71cc1e4ce8d364a8fcb/721ed97397a5e71cc1e4ce8d364a8fcb.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9967,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9967,2026-03-21T06:55:53.700665,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Golden Brown'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Army Hat'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Sleepy'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Bored Pizza'}, {'trait_type': 'Clothes', 'display_type': None, 'max_value': None, 'value': 'Toga'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Purple'}]"
9996,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9996,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/75938f3bfa9de8ef6d0aaf56904281/0975938f3bfa9de8ef6d0aaf56904281.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/75938f3bfa9de8ef6d0aaf56904281/0975938f3bfa9de8ef6d0aaf56904281.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9996,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9996,2026-03-21T06:55:53.700675,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Dark Brown'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': '3'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Dumbfounded'}, {'trait_type': 'Clothes', 'display_type': None, 'max_value': None, 'value': 'Guayabera'}, {'trait_type': 'Earring', 'display_type': None, 'max_value': None, 'value': 'Silver Hoop'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'New Punk Blue'}]"
9969,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9969,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/90960a3fa95e6f1251df886b24486b/6d90960a3fa95e6f1251df886b24486b.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/90960a3fa95e6f1251df886b24486b/6d90960a3fa95e6f1251df886b24486b.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9969,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9969,2026-03-21T06:55:53.700684,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Dark Brown'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': ""Seaman's Hat""}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Heart'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Bored Cigarette'}, {'trait_type': 'Clothes', 'display_type': None, 'max_value': None, 'value': 'Black T'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Yellow'}]"
9978,boredapeyachtclub,0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d,erc721,#9978,,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/ed252a890f23484924d6233d64152e/c7ed252a890f23484924d6233d64152e.png,https://i2c.seadn.io/base/0x7e72abdf47bd21bf0ed6ea8cb8dad60579f3fb50/ed252a890f23484924d6233d64152e/c7ed252a890f23484924d6233d64152e.png,,ipfs://QmeSjSinHpPnmXmspMjwiXyN6zS4E9zccariGR3jxcaWtq/9978,https://opensea.io/assets/ethereum/0xbc4ca0eda7647a8ab7c2061c2e118a18a936f13d/9978,2026-03-21T06:55:53.700693,False,False,,,"[{'trait_type': 'Fur', 'display_type': None, 'max_value': None, 'value': 'Tan'}, {'trait_type': 'Hat', 'display_type': None, 'max_value': None, 'value': 'Bayc Flipped Brim'}, {'trait_type': 'Eyes', 'display_type': None, 'max_value': None, 'value': 'Angry'}, {'trait_type': 'Mouth', 'display_type': None, 'max_value': None, 'value': 'Grin Multicolored'}, {'trait_type': 'Earring', 'display_type': None, 'max_value': None, 'value': 'Silver Stud'}, {'trait_type': 'Background', 'display_type': None, 'max_value': None, 'value': 'Army Green'}]"
