identifier,name,event_type,price_eth,from,to,timestamp,tx_hash
0,CryptoPunk #0,transfer,0.0,0x0000...0000,0xc352...e56a,1498225851,0xdcc2d338...
0,CryptoPunk #0,transfer,0.0,0xc352...e56a,0x0000...0000,1498258589,0x24893e11...
0,CryptoPunk #0,sale,0.98,0x0,0x0,1498258589,0x24893e11...
0,CryptoPunk #0,transfer,0.0,0x00d7...eb81,0x0000...0000,1499452752,0x54c8c5d3...
0,CryptoPunk #0,transfer,0.0,0xa0a5...a7a3,0xf509...f034,1499454220,0x298fdce2...
0,CryptoPunk #0,sale,25.0,0x0,0x0,1543563155,0x5687d030...
0,CryptoPunk #0,transfer,0.0,0xf509...f034,0x0000...0000,1543563155,0x5687d030...
0,CryptoPunk #0,order,0.002,0x0,0x0,1756412757,
1,CryptoPunk #1,transfer,0.0,0x0000...0000,0xc352...e56a,1498225851,0xdcc2d338...
1,CryptoPunk #1,sale,0.42,0x0,0x0,1498512206,0xf0f63e81...
1,CryptoPunk #1,transfer,0.0,0xc352...e56a,0x0000...0000,1498512206,0xf0f63e81...
1,CryptoPunk #1,transfer,0.0,0xa0a5...a7a3,0xf509...f034,1499454350,0x3eec5d41...
1,CryptoPunk #1,transfer,0.0,0xf509...f034,0x7d43...8c12,1554528111,0xcbc7fbb7...
1,CryptoPunk #1,sale,31.0,0x0,0x0,1554528111,0xcbc7fbb7...
1,CryptoPunk #1,transfer,0.0,0x7d43...8c12,0xee37...de87,1554549141,0x82139cd2...
1,CryptoPunk #1,transfer,0.0,0xee37...de87,0xcb99...25ac,1555161234,0x512e89fc...
1,CryptoPunk #1,transfer,0.0,0xcb99...25ac,0xee37...de87,1560106551,0x50990457...
1,CryptoPunk #1,transfer,0.0,0xee37...de87,0x0000...0000,1606761866,0xf4af5563...
1,CryptoPunk #1,transfer,0.0,0xcf61...c0f0,0xb88f...8018,1606765843,0x9ac3a76e...
10,CryptoPunk #10,transfer,0.0,0x0000...0000,0xc352...e56a,1498225851,0xdcc2d338...
10,CryptoPunk #10,transfer,0.0,0xc352...e56a,0xa858...2ef1,1647493739,0xe05f3ced...
100,CryptoPunk #100,transfer,0.0,0x0000...0000,0xc352...e56a,1498226579,0x1296a717...
100,CryptoPunk #100,transfer,0.0,0xc352...e56a,0xa858...2ef1,1647490768,0x452b3766...
1000,CryptoPunk #1000,transfer,0.0,0x0000...0000,0xc5d7...d462,1498229849,0xffb9059f...
1000,CryptoPunk #1000,transfer,0.0,0xc5d7...d462,0x0cea...4ca6,1500862755,0x4e1939b1...
1000,CryptoPunk #1000,sale,0.75,0x0,0x0,1514251752,0xfa2a58e1...
1000,CryptoPunk #1000,transfer,0.0,0x0cea...4ca6,0xe872...2f6d,1514251752,0xfa2a58e1...
1000,CryptoPunk #1000,transfer,0.0,0xe872...2f6d,0x0454...4554,1599412960,0xbc4269a8...
1000,CryptoPunk #1000,sale,9.99,0x0,0x0,1599412960,0xbc4269a8...
1000,CryptoPunk #1000,transfer,0.0,0x0454...4554,0xdfc0...75c8,1609585386,0x7d2c88fb...
1000,CryptoPunk #1000,transfer,0.0,0xdfc0...75c8,0x1b64...afc0,1621529030,0x2d1be5f1...
1000,CryptoPunk #1000,transfer,0.0,0x1b64...afc0,0x1903...c660,1628113938,0xad50a252...
1000,CryptoPunk #1000,sale,44.9,0x0,0x0,1628113938,0xad50a252...
1000,CryptoPunk #1000,transfer,0.0,0x1903...c660,0xdef8...5676,1629475891,0x5578118d...
1000,CryptoPunk #1000,transfer,0.0,0xdef8...5676,0x7eab...5412,1629475988,0xa46c3034...
1000,CryptoPunk #1000,transfer,0.0,0x7eab...5412,0x8ca2...e838,1630267585,0x59dfb221...
1000,CryptoPunk #1000,sale,150.0,0x0,0x0,1630267585,0x59dfb221...
1000,CryptoPunk #1000,transfer,0.0,0x8ca2...e838,0x1b07...9de7,1676372315,0xecb7c854...
1000,CryptoPunk #1000,transfer,0.0,0x1b07...9de7,0x09c1...3ec5,1686118895,0x09469f22...
1000,CryptoPunk #1000,transfer,0.0,0x09c1...3ec5,0x5104...c4a1,1710336935,0x2ea075b6...
1000,CryptoPunk #1000,transfer,0.0,0x5104...c4a1,0x0000...0000,1719943271,0x1d626d90...
1000,CryptoPunk #1000,sale,26.25,0x0,0x0,1719943271,0x1d626d90...
1000,CryptoPunk #1000,sale,26.25,0x0,0x0,1720376015,0xf3ab60f7...
