identifier,collection,contract,token_standard,name,description,image_url,display_image_url,display_animation_url,metadata_url,opensea_url,updated_at,is_disabled,is_nsfw,original_image_url,original_animation_url,traits
9995,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9995,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/25107d94f52e416ca0ef40f1d72206/3425107d94f52e416ca0ef40f1d72206.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/25107d94f52e416ca0ef40f1d72206/3425107d94f52e416ca0ef40f1d72206.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9995,2026-03-20T11:41:13.492194,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Female'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Straight Hair Dark'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Purple Eye Shadow'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '2 attributes'}]"
9978,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9978,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/17263e3222f96a46cf1425d5519fb1/8117263e3222f96a46cf1425d5519fb1.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/17263e3222f96a46cf1425d5519fb1/8117263e3222f96a46cf1425d5519fb1.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9978,2026-03-20T11:41:13.492210,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Male'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Earring'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Fedora'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Eye Patch'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '3 attributes'}]"
9991,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9991,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/f909bb0d0b1a2237c799c114db4ce8/bff909bb0d0b1a2237c799c114db4ce8.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/f909bb0d0b1a2237c799c114db4ce8/bff909bb0d0b1a2237c799c114db4ce8.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9991,2026-03-20T11:41:13.492221,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Male'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Muttonchops'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Earring'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Regular Shades'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Beanie'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '4 attributes'}]"
9997,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9997,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/ade49855cc897e94ef46a7c0a2d6fa/afade49855cc897e94ef46a7c0a2d6fa.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/ade49855cc897e94ef46a7c0a2d6fa/afade49855cc897e94ef46a7c0a2d6fa.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9997,2026-03-20T11:41:13.492231,False,False,https://www.larvalabs.com/cryptopunks/cryptopunk9997.png,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Zombie'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Front Beard'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Cap Forward'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '2 attributes'}]"
9961,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9961,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/058f73c55a450ed22f05fe5912bee6/6e058f73c55a450ed22f05fe5912bee6.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/058f73c55a450ed22f05fe5912bee6/6e058f73c55a450ed22f05fe5912bee6.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9961,2026-03-20T11:41:13.492241,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Male'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'VR'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Shaved Head'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Normal Beard'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Medical Mask'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '4 attributes'}]"
9986,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9986,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/40c43d6be2c7f8036e6c36ca20aa12/4640c43d6be2c7f8036e6c36ca20aa12.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/40c43d6be2c7f8036e6c36ca20aa12/4640c43d6be2c7f8036e6c36ca20aa12.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9986,2026-03-20T11:41:13.492250,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Male'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Mohawk'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Muttonchops'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '2 attributes'}]"
9993,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9993,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/f1b57169e993c02b38521770a3b52a/e5f1b57169e993c02b38521770a3b52a.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/f1b57169e993c02b38521770a3b52a/e5f1b57169e993c02b38521770a3b52a.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9993,2026-03-20T11:41:13.492259,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Male'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Cap'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Shadow Beard'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Nerd Glasses'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '3 attributes'}]"
9982,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9982,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/fc6a240603b6b73bdc638d0a15c99c/99fc6a240603b6b73bdc638d0a15c99c.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/fc6a240603b6b73bdc638d0a15c99c/99fc6a240603b6b73bdc638d0a15c99c.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9982,2026-03-20T11:41:13.492268,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Female'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Earring'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Stringy Hair'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'VR'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '3 attributes'}]"
9976,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9976,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/adeaab47d1af0dbcd81b213f9a3c17/b7adeaab47d1af0dbcd81b213f9a3c17.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/adeaab47d1af0dbcd81b213f9a3c17/b7adeaab47d1af0dbcd81b213f9a3c17.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9976,2026-03-20T11:41:13.492277,False,False,,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Female'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Half Shaved'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Pipe'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '2 attributes'}]"
9970,cryptopunks,0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb,cryptopunks,CryptoPunk #9970,,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9a020c4279288b2e00dbb9ecf89a95/429a020c4279288b2e00dbb9ecf89a95.png,https://i2c.seadn.io/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9a020c4279288b2e00dbb9ecf89a95/429a020c4279288b2e00dbb9ecf89a95.png,,,https://opensea.io/assets/ethereum/0xb47e3cd837ddf8e4c57f05d70ab865de6e193bbb/9970,2026-03-20T11:41:13.492285,False,False,https://www.larvalabs.com/cryptopunks/cryptopunk9970.png,,"[{'trait_type': 'type', 'display_type': None, 'max_value': None, 'value': 'Male'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Shaved Head'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Pipe'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': 'Classic Shades'}, {'trait_type': 'accessory', 'display_type': None, 'max_value': None, 'value': '3 attributes'}]"
