identifier,event_type,price_eth,from,to,timestamp,tx_hash
23798,transfer,0,0xc09ec888628d7c0ca6dac9698d19107a8fa3292a,0x5056c3fab2a1385e490f428bae725ef3c51da2a1,1752726359,
23798,mint,0,0x0000000000000000000000000000000000000000,0xc09ec888628d7c0ca6dac9698d19107a8fa3292a,1752458015,
22072,mint,0,0x0000000000000000000000000000000000000000,0xc848860b09dc8ad9e2f23a4b3a565539639d7fd6,1755067139,
28400,transfer,0,0x7671c6768ec13ca954d3c460dfac89bca8055883,0x25b7698cf51a9bbd671ef80d014ef9081871d2f7,1759358687,
28400,mint,0,0x0000000000000000000000000000000000000000,0x7671c6768ec13ca954d3c460dfac89bca8055883,1759358291,
26726,transfer,0,0x5ae56d13e4684c8cd4d97875ec657c0a14b8b53e,0x1b5732c1ec0ab2aaf5e348976416744d03feed1d,1752903311,
26726,mint,0,0x0000000000000000000000000000000000000000,0x5ae56d13e4684c8cd4d97875ec657c0a14b8b53e,1738066367,
19276,transfer,0,0xa67286d1051a789f9fad1b9e18b43644f8786cd3,0xc51f46ede9e47afd844ce81f27e8c46d7823bdcd,1735891547,
19276,mint,0,0x0000000000000000000000000000000000000000,0xa67286d1051a789f9fad1b9e18b43644f8786cd3,1735891463,
25176,transfer,0,0xa785a1fd05a0c006b94484f124f6f420e6e50834,0x93ff635f1e42885646acf50d948b577a1144893a,1759748963,
25176,mint,0,0x0000000000000000000000000000000000000000,0xa785a1fd05a0c006b94484f124f6f420e6e50834,1740499811,
13616,sale,1.077999,,,1760152007,
13616,transfer,0.0,0x4459084da2d3a774c436f2e75f2e3fe9335dc5de,0xae329118701242dc412035e662f00590cdf0d770,1760152007,
13616,sale,1.18,,,1759977119,
13616,transfer,0.0,0xaf3c66fa719ab191021d451835842ec431b7b59f,0x4459084da2d3a774c436f2e75f2e3fe9335dc5de,1759977119,
13616,sale,1.2695,,,1759720787,
13616,transfer,0.0,0xd6f598a725bf898cdeb4db8633ba3534922c85b0,0xaf3c66fa719ab191021d451835842ec431b7b59f,1759720787,
13616,transfer,0.0,0xc22395ad28aa56566ae847859ea744c02f9a2f42,0xd6f598a725bf898cdeb4db8633ba3534922c85b0,1759648907,
13616,sale,1.235,,,1759648907,
13616,sale,1.21,,,1759641839,
13616,transfer,0.0,0xc98ecc595caeac6eb0ac449aa6886de6dd77de9b,0xc22395ad28aa56566ae847859ea744c02f9a2f42,1759641839,
13616,sale,1.9,,,1753123487,
13616,transfer,0.0,0x84e126fd326ae075e3a4695aed384588590fc289,0xc98ecc595caeac6eb0ac449aa6886de6dd77de9b,1753123487,
13616,sale,1.88,,,1753073195,
13616,transfer,0.0,0xeb79f3b9836e14678abdb862aabfc171341b3199,0x84e126fd326ae075e3a4695aed384588590fc289,1753073195,
13616,transfer,0.0,0x58867fa928b92ca3dc1c709d058ea1bfa1fc28d5,0xeb79f3b9836e14678abdb862aabfc171341b3199,1753073183,
13616,sale,1.87,,,1753073183,
13616,mint,0.0,0x0000000000000000000000000000000000000000,0x58867fa928b92ca3dc1c709d058ea1bfa1fc28d5,1752929459,
23176,transfer,0.0,0x65b5e3d76512842cd51e56758fc831a97ac2e378,0xc34270bb9b3ea960463ddc968b2f4bdca9cb8e0e,1734663479,
23176,transfer,0.0,0xcd7cafd9abd3740eac625059c21923110aec9593,0x65b5e3d76512842cd51e56758fc831a97ac2e378,1734662771,
23176,sale,2.97,,,1734662771,
23176,transfer,0.0,0x7753be123a0ec02d0c032337fb6ec2f7303fe5cb,0xcd7cafd9abd3740eac625059c21923110aec9593,1734573755,
23176,transfer,0.0,0xd8f2d17608ad4e91dbf01258174b8da6ebd91f95,0x7753be123a0ec02d0c032337fb6ec2f7303fe5cb,1734555263,
23176,mint,0.0,0x0000000000000000000000000000000000000000,0xd8f2d17608ad4e91dbf01258174b8da6ebd91f95,1734554855,
23674,sale,0.899399,,,1762026659,
23674,transfer,0.0,0xb14b7b40c7ec6ee7158977a4edafbd88c685bb96,0xe4b86ee7e6baf036bd5221afd5f6f4a62617a7b2,1762026659,
23674,transfer,0.0,0x29469395eaf6f95920e59f858042f0e28d98a20b,0xb14b7b40c7ec6ee7158977a4edafbd88c685bb96,1761808655,
