identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers
8884,21,4.766947619047619,10.89,0.1699,100.1059,1,1
8874,18,4.124513333333334,5.54,0.055,74.24124,1,1
8873,2,0.165,0.275,0.055,0.33,1,1
8885,2,0.69,1.2,0.18,1.38,1,1
8887,13,10.193976923076924,29.949,0.34,132.5217,1,1
8878,3,1.0550333333333333,1.9969,0.195,3.1651,1,1
8877,2,0.747,1.069,0.425,1.494,1,1
8883,7,6.949285428571429,11.11,0.425,48.644998,1,1
8882,9,6.910965555555555,14.12,0.185,62.19869,1,1
8875,14,6.3354,14.68,0.055,88.6956,1,1
8886,19,10.716753,15.32,0.14,203.61830700000002,1,1
8879,49,5.521975510204081,17.8,0.375,270.5768,1,1
8876,3,2.2133333333333334,3.5,0.4,6.640000000000001,1,1
8880,2,1.375,2.5,0.25,2.75,1,1
8881,3,1.0183333333333333,2.0,0.055,3.0549999999999997,1,1
8830,3,2.3749,3.4747,0.8,7.1247,1,1
8782,2,0.74995,1.4499,0.05,1.4999,1,1
8814,4,15.004999999999999,36.33,2.4,60.019999999999996,1,1
8863,15,7.363859333333334,14.7,0.22,110.45789,1,1
8852,6,4.540833333333333,10.28,0.085,27.244999999999997,1,1
8865,3,0.45166666666666666,0.99,0.015,1.355,1,1
8810,72,6.523644847222222,25.89,1.5,469.702429,1,1
8835,1,0.1,0.1,0.1,0.1,1,1
8825,16,3.3333062499999997,17.83,0.049,53.332899999999995,1,1
8808,21,9.411708761904762,13.48,0.9,197.645884,1,1
8778,7,1.1686999999999999,2.64,0.05,8.1809,1,1
8848,5,1.191,2.25,0.025,5.955,1,1
8866,5,0.9873799999999999,1.99,0.05,4.9369,1,1
8775,7,3.569614285714285,5.88,0.045,24.987299999999998,1,1
8811,3,2.033333333333333,3.3,1.1,6.1,1,1
8791,5,2.0300000000000002,3.99,0.05,10.15,1,1
8854,8,7.17440025,10.54,0.0235,57.395202,1,1
8864,8,5.3339875,20.84,1.4999,42.6719,1,1
8820,0,0.0,0.0,0.0,0.0,0,0
8784,13,9.33079223076923,34.19,0.05,121.300299,1,1
8831,30,6.1670804666666665,31.6,0.25,185.012414,1,1
8807,19,5.680588842105263,15.819988,1.1,107.931188,1,1
8793,16,5.0374375,10.59,0.05,80.599,1,1
8803,14,13.97616407142857,34.7,0.88,195.666297,1,1
8779,61,4.462103491803279,7.0888,0.05,272.188313,1,1
8799,10,14.148493000000002,40.0,0.2,141.48493000000002,1,1
8822,2,14.934999999999999,19.88,9.99,29.869999999999997,1,1
8777,22,4.458311545454546,15.298,0.045,98.082854,1,1
8842,9,2.6951,7.5,0.12,24.2559,1,1
8860,4,7.2425,13.365,0.145,28.97,1,1
8786,2,0.165,0.28,0.05,0.33,1,1
8834,13,7.560918538461538,16.179951,0.15,98.291941,1,1
8832,10,2.617493,5.89993,0.05,26.17493,1,1
8789,3,2.438,4.284,0.05,7.314,1,1
8806,11,6.4106,11.22,1.1,70.5166,1,1
8794,7,4.4357114285714285,12.14898,0.3,31.049979999999998,1,1
8798,3,0.118,0.2,0.054,0.354,1,1
8853,3,7.466666666666666,14.9,1.75,22.4,1,1
8845,4,0.499475,0.9499,0.02,1.9979,1,1
8826,6,0.5975333333333334,2.0,0.049,3.5852,1,1
8801,4,10.458425,17.301,0.0547,41.8337,1,1
8843,6,2.8699999999999997,6.8,0.03,17.22,1,1
8840,20,3.402955,4.49,0.04,68.0591,1,1
8816,1,1.174,1.174,1.174,1.174,1,1
8812,1,1.1,1.1,1.1,1.1,1,1
8813,15,4.05994,5.2462,0.33,60.899100000000004,1,1
8790,15,4.176733333333333,9.45,0.045,62.650999999999996,1,1
8823,12,6.8747495,10.48,0.9,82.496994,1,1
8785,9,1.2106666666666668,2.68,0.05,10.896,1,1
8862,2,0.255,0.35,0.16,0.51,1,1
8827,6,1.0416833333333333,3.0,0.049,6.2501,1,1
8783,13,8.723592307692307,20.99,0.05,113.4067,1,1
8805,6,7.454999999999999,18.49,1.1,44.73,1,1
8815,8,2.9665500000000002,4.8559,0.339,23.732400000000002,1,1
8855,7,1.8790714285714287,3.33,0.0235,13.153500000000001,1,1
8837,20,4.96297,9.739,0.0669,99.2594,1,1
8818,4,2.2335000000000003,4.76,0.344,8.934000000000001,1,1
8846,15,3.1248603333333334,4.95,0.0122,46.872905,1,1
8795,6,1.764,3.5,0.054,10.584,1,1
8867,5,1.7752,6.0,0.025,8.876,1,1
8800,1,1.5,1.5,1.5,1.5,1,1
8849,9,6.6907776666666665,11.987999,0.4,60.216999,1,1
8850,16,15.216185375,32.5,0.2,243.458966,1,1
8792,14,3.07715,6.06,0.05,43.0801,1,1
8829,10,4.8156300000000005,9.382,0.05,48.1563,1,1
8817,7,1.6658571428571427,3.098,0.2,11.661,1,1
8788,10,7.8426,18.15,0.013,78.426,1,1
8861,8,1.375763875,3.8,0.185,11.006111,1,1
8856,3,2.1148333333333333,5.631,0.0235,6.3445,1,1
8802,21,4.084970952380952,9.2,0.0549,85.78439,1,1
8796,11,1.8660909090909092,5.1429,0.032,20.527,1,1
8776,15,3.4439455999999997,5.54,0.045,51.659183999999996,1,1
8847,4,0.46255,1.0,0.0122,1.8502,1,1
8828,3,0.5096666666666666,0.98,0.049,1.529,1,1
8797,5,7.818821,33.0,0.053,39.094105,1,1
8833,12,3.8308324999999996,10.69,0.05,45.969989999999996,1,1
8844,20,2.987945,7.08,0.012,59.7589,1,1
8857,11,1.7827636363636363,4.92,0.0235,19.6104,1,1
8851,10,8.7013486,22.79,0.0549,87.013486,1,1
8841,15,7.083433333333333,21.69,0.0115,106.2515,1,1
8872,6,2.7416666666666667,6.5,1.04,16.45,1,1
