identifier,transaction_count,avg_price_eth,max_price_eth,min_price_eth,total_volume_eth,unique_buyers,unique_sellers
23799,0,0.0,0.0,0.0,0.0,0,0
28401,0,0.0,0.0,0.0,0.0,0,0
28400,0,0.0,0.0,0.0,0.0,0,0
22072,0,0.0,0.0,0.0,0.0,0,0
13616,8,1.452812375,1.9,1.077999,11.622499,0,0
23798,0,0.0,0.0,0.0,0.0,0,0
15933,0,0.0,0.0,0.0,0.0,0,0
27110,1,3.0,3.0,3.0,3.0,0,0
13206,3,1.86,2.09,1.55,5.58,0,0
21838,4,1.42,2.89,0.86,5.68,0,0
25176,0,0.0,0.0,0.0,0.0,0,0
22631,1,2.2,2.2,2.2,2.2,0,0
22630,2,1.0855,1.19,0.981,2.171,0,0
21998,8,1.6378856124999999,2.485,0.8878951,13.103084899999999,0,0
26726,0,0.0,0.0,0.0,0.0,0,0
23009,0,0.0,0.0,0.0,0.0,0,0
25002,17,1.4827,2.77,0.606,25.2059,0,0
25897,5,3.778,5.0,2.4,18.89,0,0
19446,1,2.95,2.95,2.95,2.95,0,0
21444,0,0.0,0.0,0.0,0.0,0,0
19276,0,0.0,0.0,0.0,0.0,0,0
24720,3,1.9000000000000001,2.25,1.45,5.7,0,0
23674,1,0.899399,0.899399,0.899399,0.899399,0,0
26344,2,2.71870992475,3.14,2.2974198495,5.4374198495,0,0
13460,0,0.0,0.0,0.0,0.0,0,0
23176,1,2.97,2.97,2.97,2.97,0,0
15805,3,5.106333333333333,7.62,2.199,15.318999999999999,0,0
15804,5,2.0724,4.25,0.731,10.362,0,0
25765,0,0.0,0.0,0.0,0.0,0,0
13122,1,3.7878,3.7878,3.7878,3.7878,0,0
26654,1,3.6,3.6,3.6,3.6,0,0
26386,8,2.9073749875,3.84,2.34,23.2589999,0,0
20274,1,3.777,3.777,3.777,3.777,0,0
29406,2,3.7224885,3.725,3.719977,7.444977,0,0
24738,33,1.8075987843939394,3.707,0.64,59.650759885,0,0
23198,12,2.9906666666666664,3.98,0.863,35.888,0,0
22050,2,3.7439999999999998,3.769,3.719,7.4879999999999995,0,0
20187,0,0.0,0.0,0.0,0.0,0,0
27330,6,2.887833283333334,3.71,0.77,17.326999700000002,0,0
29628,0,0.0,0.0,0.0,0.0,0,0
14164,1,3.49,3.49,3.49,3.49,0,0
22148,14,1.3985779214285714,3.5799939,0.8298,19.5800909,0,0
22394,0,0.0,0.0,0.0,0.0,0,0
16802,0,0.0,0.0,0.0,0.0,0,0
14926,6,1.6124333333333334,2.34,1.3,9.6746,0,0
12964,0,0.0,0.0,0.0,0.0,0,0
25240,0,0.0,0.0,0.0,0.0,0,0
29318,21,2.5296607085714284,3.579,0.87,53.12287488,0,0
23008,6,1.5938945,2.19,1.326,9.563367,0,0
11822,1,3.675,3.675,3.675,3.675,0,0
16195,10,1.7126000000000001,2.95,0.98,17.126,0,0
25528,0,0.0,0.0,0.0,0.0,0,0
11118,10,2.23875,3.34,1.2,22.3875,0,0
12136,8,2.8910125,3.839,0.911,23.1281,0,0
15917,0,0.0,0.0,0.0,0.0,0,0
22821,2,4.9345,7.5,2.369,9.869,0,0
22820,0,0.0,0.0,0.0,0.0,0,0
18882,0,0.0,0.0,0.0,0.0,0,0
19006,5,2.74572,3.469,2.4,13.7286,0,0
25484,0,0.0,0.0,0.0,0.0,0,0
12896,0,0.0,0.0,0.0,0.0,0,0
14149,0,0.0,0.0,0.0,0.0,0,0
11292,1,1.0,1.0,1.0,1.0,0,0
11760,0,0.0,0.0,0.0,0.0,0,0
16507,0,0.0,0.0,0.0,0.0,0,0
26204,0,0.0,0.0,0.0,0.0,0,0
11881,1,4.04,4.04,4.04,4.04,0,0
29550,1,1.0345,1.0345,1.0345,1.0345,0,0
16420,9,2.2202763666666665,3.49,0.814,19.9824873,0,0
27144,11,2.7501226272727273,4.222,1.6,30.2513489,0,0
28009,0,0.0,0.0,0.0,0.0,0,0
12254,0,0.0,0.0,0.0,0.0,0,0
20488,0,0.0,0.0,0.0,0.0,0,0
16506,0,0.0,0.0,0.0,0.0,0,0
20776,7,5.7068852712857145,5.949,5.2362,39.948196899,0,0
16340,6,5.5631666666666675,5.99,5.11,33.379000000000005,0,0
25447,0,0.0,0.0,0.0,0.0,0,0
19356,2,0.85,0.85,0.85,1.7,0,0
27910,0,0.0,0.0,0.0,0.0,0,0
19984,0,0.0,0.0,0.0,0.0,0,0
17025,1,2.12,2.12,2.12,2.12,0,0
28702,0,0.0,0.0,0.0,0.0,0,0
21218,0,0.0,0.0,0.0,0.0,0,0
22370,5,2.669599000002,3.202,2.21,13.34799500001,0,0
17008,0,0.0,0.0,0.0,0.0,0,0
18583,0,0.0,0.0,0.0,0.0,0,0
23344,2,7.495,8.0,6.99,14.99,0,0
12915,3,8.0151,11.0553,2.0,24.0453,0,0
11232,0,0.0,0.0,0.0,0.0,0,0
25678,2,6.295,6.6,5.99,12.59,0,0
11566,0,0.0,0.0,0.0,0.0,0,0
12914,10,7.053579000000001,10.3819,1.93,70.53579,0,0
20464,0,0.0,0.0,0.0,0.0,0,0
12714,2,8.475,14.5,2.45,16.95,0,0
27016,10,2.7799199999999997,5.83,0.8842,27.7992,0,0
23442,1,5.1249,5.1249,5.1249,5.1249,0,0
13068,2,2.69,3.1,2.28,5.38,0,0
24189,0,0.0,0.0,0.0,0.0,0,0
24188,0,0.0,0.0,0.0,0.0,0,0
14235,0,0.0,0.0,0.0,0.0,0,0
25438,0,0.0,0.0,0.0,0.0,0,0
15529,1,5.7,5.7,5.7,5.7,0,0
20174,6,4.11455,5.6,0.725,24.6873,0,0
21791,10,3.057999999,5.0,1.81,30.57999999,0,0
21790,2,8.75,16.0,1.5,17.5,0,0
16324,4,11.046875,15.4,1.459,44.1875,0,0
20668,0,0.0,0.0,0.0,0.0,0,0
26803,0,0.0,0.0,0.0,0.0,0,0
14120,4,12.4772,16.9674,7.54,49.9088,0,0
13211,0,0.0,0.0,0.0,0.0,0,0
13210,0,0.0,0.0,0.0,0.0,0,0
11517,0,0.0,0.0,0.0,0.0,0,0
29350,5,5.5598998,5.6695,5.242,27.799499,0,0
24854,0,0.0,0.0,0.0,0.0,0,0
26014,0,0.0,0.0,0.0,0.0,0,0
18051,0,0.0,0.0,0.0,0.0,0,0
28645,1,18.0,18.0,18.0,18.0,0,0
28644,20,2.5727157775,5.51,0.742,51.45431555,0,0
18378,7,4.0743285714285715,8.99,0.562,28.5203,0,0
26859,0,0.0,0.0,0.0,0.0,0,0
13249,0,0.0,0.0,0.0,0.0,0,0
19489,0,0.0,0.0,0.0,0.0,0,0
26967,0,0.0,0.0,0.0,0.0,0,0
26966,0,0.0,0.0,0.0,0.0,0,0
25998,6,9.983665,15.462,4.55,59.90199,0,0
28800,13,4.502115384615385,5.89,2.12,58.5275,0,0
22688,8,1.503212375,4.3579,0.566,12.025699,0,0
14167,0,0.0,0.0,0.0,0.0,0,0
15353,1,2.543,2.543,2.543,2.543,0,0
18504,14,7.792899285714285,15.99,2.29,109.10059,0,0
18582,0,0.0,0.0,0.0,0.0,0,0
16227,0,0.0,0.0,0.0,0.0,0,0
24337,0,0.0,0.0,0.0,0.0,0,0
28652,0,0.0,0.0,0.0,0.0,0,0
25231,0,0.0,0.0,0.0,0.0,0,0
30006,0,0.0,0.0,0.0,0.0,0,0
15117,0,0.0,0.0,0.0,0.0,0,0
18654,0,0.0,0.0,0.0,0.0,0,0
22377,0,0.0,0.0,0.0,0.0,0,0
25015,0,0.0,0.0,0.0,0.0,0,0
21431,3,15.2418,15.63,14.4704,45.7254,0,0
18548,0,0.0,0.0,0.0,0.0,0,0
18549,0,0.0,0.0,0.0,0.0,0,0
23759,2,6.8233333300000005,6.98,6.66666666,13.646666660000001,0,0
26917,1,8.8,8.8,8.8,8.8,0,0
29795,0,0.0,0.0,0.0,0.0,0,0
11276,18,9.618882277777779,15.5,4.92,173.139881,0,0
14524,10,7.3156988999799,9.104,5.22,73.156988999799,0,0
27569,0,0.0,0.0,0.0,0.0,0,0
28718,0,0.0,0.0,0.0,0.0,0,0
15650,6,3.649583,9.292,0.86,21.897498,0,0
18100,0,0.0,0.0,0.0,0.0,0,0
19045,0,0.0,0.0,0.0,0.0,0,0
22596,1,13.98,13.98,13.98,13.98,0,0
27362,5,2.9812000000000003,4.53,1.75,14.906,0,0
19268,0,0.0,0.0,0.0,0.0,0,0
11193,0,0.0,0.0,0.0,0.0,0,0
10192,0,0.0,0.0,0.0,0.0,0,0
12684,23,7.794777391304348,9.17,5.1,179.27988,0,0
14817,0,0.0,0.0,0.0,0.0,0,0
19910,0,0.0,0.0,0.0,0.0,0,0
21811,0,0.0,0.0,0.0,0.0,0,0
28797,0,0.0,0.0,0.0,0.0,0,0
27568,0,0.0,0.0,0.0,0.0,0,0
18527,0,0.0,0.0,0.0,0.0,0,0
28796,11,4.1895454545454545,9.01,1.2,46.085,0,0
18072,5,2.08647998,2.9,1.8397999,10.4323999,0,0
25281,5,3.7714,10.0,1.61,18.857,0,0
11316,0,0.0,0.0,0.0,0.0,0,0
18291,0,0.0,0.0,0.0,0.0,0,0
23548,9,15.74711111111111,17.19,14.73,141.724,0,0
17291,5,7.303999999999999,7.6,6.99,36.519999999999996,0,0
28453,0,0.0,0.0,0.0,0.0,0,0
15072,0,0.0,0.0,0.0,0.0,0,0
16502,0,0.0,0.0,0.0,0.0,0,0
21363,1,8.29,8.29,8.29,8.29,0,0
22023,0,0.0,0.0,0.0,0.0,0,0
12897,0,0.0,0.0,0.0,0.0,0,0
15653,0,0.0,0.0,0.0,0.0,0,0
15487,0,0.0,0.0,0.0,0.0,0,0
26342,1,0.67,0.67,0.67,0.67,0,0
19931,0,0.0,0.0,0.0,0.0,0,0
